# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-echo
sample,rtt_cycles,rtt_us
809,461,2.3050
810,462,2.3100
811,460,2.3000
812,468,2.3400
813,461,2.3050
814,461,2.3050
815,461,2.3050
816,463,2.3150
817,460,2.3000
818,461,2.3050
819,459,2.2950
820,486,2.4300
821,467,2.3350
822,462,2.3100
823,462,2.3100
824,461,2.3050
825,475,2.3750
826,462,2.3100
827,460,2.3000
828,460,2.3000
829,461,2.3050
830,461,2.3050
831,461,2.3050
832,461,2.3050
833,461,2.3050
834,461,2.3050
835,467,2.3350
836,461,2.3050
837,460,2.3000
838,467,2.3350
839,460,2.3000
840,461,2.3050
841,463,2.3150
842,462,2.3100
843,462,2.3100
844,461,2.3050
845,460,2.3000
846,462,2.3100
847,462,2.3100
848,469,2.3450
849,461,2.3050
850,461,2.3050
851,461,2.3050
852,466,2.3300
853,459,2.2950
854,462,2.3100
855,461,2.3050
856,461,2.3050
857,461,2.3050
858,467,2.3350
859,462,2.3100
860,460,2.3000
861,466,2.3300
862,461,2.3050
863,466,2.3300
864,462,2.3100
865,462,2.3100
866,460,2.3000
867,462,2.3100
868,461,2.3050
869,460,2.3000
870,460,2.3000
871,461,2.3050
872,461,2.3050
873,461,2.3050
874,463,2.3150
875,462,2.3100
876,462,2.3100
877,460,2.3000
878,461,2.3050
879,462,2.3100
880,461,2.3050
881,461,2.3050
882,461,2.3050
883,461,2.3050
884,460,2.3000
885,459,2.2950
886,462,2.3100
887,462,2.3100
888,461,2.3050
889,461,2.3050
890,466,2.3300
891,461,2.3050
892,461,2.3050
893,460,2.3000
894,462,2.3100
895,460,2.3000
896,460,2.3000
897,461,2.3050
898,459,2.2950
899,460,2.3000
900,462,2.3100
901,462,2.3100
902,461,2.3050
903,471,2.3550
904,460,2.3000
905,465,2.3250
906,461,2.3050
907,462,2.3100
908,467,2.3350
909,460,2.3000
910,462,2.3100
911,461,2.3050
912,462,2.3100
913,463,2.3150
914,462,2.3100
915,466,2.3300
916,461,2.3050
917,468,2.3400
918,462,2.3100
919,462,2.3100
920,460,2.3000
921,461,2.3050
922,463,2.3150
923,460,2.3000
924,475,2.3750
925,462,2.3100
926,462,2.3100
927,461,2.3050
928,462,2.3100
929,460,2.3000
930,461,2.3050
931,461,2.3050
932,461,2.3050
933,462,2.3100
934,463,2.3150
935,467,2.3350
936,462,2.3100
937,462,2.3100
938,461,2.3050
939,461,2.3050
940,462,2.3100
941,461,2.3050
942,463,2.3150
943,462,2.3100
944,460,2.3000
945,462,2.3100
946,462,2.3100
947,461,2.3050
948,461,2.3050
949,459,2.2950
950,461,2.3050
951,462,2.3100
952,461,2.3050
953,460,2.3000
954,459,2.2950
955,462,2.3100
956,467,2.3350
957,461,2.3050
958,465,2.3250
959,461,2.3050
960,460,2.3000
961,461,2.3050
962,461,2.3050
963,461,2.3050
964,460,2.3000
965,462,2.3100
966,463,2.3150
967,463,2.3150
968,461,2.3050
969,487,2.4350
970,462,2.3100
971,460,2.3000
972,460,2.3000
973,462,2.3100
974,460,2.3000
975,462,2.3100
976,462,2.3100
977,461,2.3050
978,461,2.3050
979,462,2.3100
980,462,2.3100
981,463,2.3150
982,462,2.3100
983,462,2.3100
984,461,2.3050
985,460,2.3000
986,462,2.3100
987,468,2.3400
988,461,2.3050
989,462,2.3100
990,461,2.3050
991,462,2.3100
992,461,2.3050
993,459,2.2950
994,459,2.2950
995,462,2.3100
996,461,2.3050
997,462,2.3100
998,462,2.3100
999,462,2.3100
1000,459,2.2950
1001,460,2.3000
1002,460,2.3000
1003,461,2.3050
1004,462,2.3100
1005,461,2.3050
1006,464,2.3200
1007,460,2.3000
1008,462,2.3100
1009,460,2.3000
1010,461,2.3050
1011,462,2.3100
1012,461,2.3050
1013,466,2.3300
