# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-steane
sample,rtt_cycles,rtt_us
883,459,2.2950
884,461,2.3050
885,460,2.3000
886,461,2.3050
887,462,2.3100
888,461,2.3050
889,459,2.2950
890,460,2.3000
891,460,2.3000
892,461,2.3050
893,460,2.3000
894,461,2.3050
895,466,2.3300
896,461,2.3050
897,458,2.2900
898,464,2.3200
899,459,2.2950
900,461,2.3050
901,461,2.3050
902,462,2.3100
903,460,2.3000
904,460,2.3000
905,459,2.2950
906,460,2.3000
907,460,2.3000
908,461,2.3050
909,459,2.2950
910,461,2.3050
911,462,2.3100
912,463,2.3150
913,469,2.3450
914,460,2.3000
915,460,2.3000
916,461,2.3050
917,464,2.3200
918,463,2.3150
919,462,2.3100
920,466,2.3300
921,459,2.2950
922,460,2.3000
923,461,2.3050
924,461,2.3050
925,466,2.3300
926,463,2.3150
927,462,2.3100
928,461,2.3050
929,460,2.3000
930,461,2.3050
931,460,2.3000
932,460,2.3000
933,464,2.3200
934,463,2.3150
935,462,2.3100
936,460,2.3000
937,461,2.3050
938,461,2.3050
939,460,2.3000
940,468,2.3400
941,462,2.3100
942,462,2.3100
943,465,2.3250
944,460,2.3000
945,459,2.2950
946,461,2.3050
947,462,2.3100
948,461,2.3050
949,460,2.3000
950,487,2.4350
951,461,2.3050
952,459,2.2950
953,460,2.3000
954,460,2.3000
955,462,2.3100
956,466,2.3300
957,462,2.3100
958,463,2.3150
959,463,2.3150
960,459,2.2950
961,461,2.3050
962,459,2.2950
963,460,2.3000
964,462,2.3100
965,462,2.3100
966,460,2.3000
967,463,2.3150
968,461,2.3050
969,464,2.3200
970,460,2.3000
971,463,2.3150
972,461,2.3050
973,462,2.3100
974,462,2.3100
975,461,2.3050
976,476,2.3800
977,460,2.3000
978,460,2.3000
979,460,2.3000
980,460,2.3000
981,461,2.3050
982,461,2.3050
983,462,2.3100
984,460,2.3000
985,459,2.2950
986,460,2.3000
987,462,2.3100
988,468,2.3400
989,460,2.3000
990,460,2.3000
991,461,2.3050
992,459,2.2950
993,473,2.3650
994,461,2.3050
995,460,2.3000
996,460,2.3000
997,460,2.3000
998,463,2.3150
999,463,2.3150
1000,473,2.3650
1001,463,2.3150
1002,464,2.3200
1003,460,2.3000
